amount,wallet_age_days,daily_txn_count,kyc_status,unusual_time,email_valid,device_new,geo_mismatch,network_flag,label
1112,462,5,1,1,0,0,1,1,0
6836,1404,9,0,1,0,1,0,1,1
1788,947,12,0,1,0,1,1,1,1
1544,130,8,1,0,0,1,1,1,0
4201,1487,12,1,0,1,0,0,1,0
937,1087,3,1,1,0,1,0,1,0
2944,386,12,0,0,1,1,1,1,1
1282,70,7,0,0,0,1,0,1,1
73277,1379,6,1,0,1,0,1,1,0
1278,904,4,1,1,0,1,0,1,0
2791,1447,10,0,1,0,0,0,1,1
375,863,4,1,0,0,0,1,1,0
3837,1384,10,0,1,1,1,1,1,1
818,770,7,0,0,0,1,1,1,1
76100,79,12,1,0,0,0,0,1,1
130,487,12,0,1,0,1,1,1,1
1389,1045,8,0,0,0,1,0,1,1
662,227,3,1,0,0,1,0,1,1
381,445,3,0,0,1,1,0,1,0
434,761,6,1,0,1,0,1,1,0
56322,957,2,1,0,1,1,1,1,0
8388,1389,10,1,1,0,0,1,1,1
89754,1405,3,0,0,0,0,0,1,1
12336,521,11,1,0,0,1,0,1,0
68459,1298,1,1,0,1,1,0,1,0
5552,532,12,0,1,0,1,1,1,1
2487,527,7,0,0,0,1,0,1,1
1907,430,7,0,0,0,0,0,1,1
558,1065,5,1,1,0,0,0,1,1
9059,169,7,0,0,0,0,0,1,1
6769,826,2,1,1,0,1,0,1,0
39183,687,7,1,1,1,1,0,1,0
48123,1321,10,1,1,0,1,0,1,1
771,182,7,0,1,0,0,0,1,1
87020,289,10,0,1,0,0,0,1,1
750,295,12,0,1,1,0,1,1,1
61563,288,8,0,1,0,1,1,1,1
485,133,7,0,1,0,0,0,1,1
34041,416,3,0,0,0,0,1,1,1
1963,802,9,0,1,0,0,1,1,1
4231,815,6,1,1,0,1,0,1,0
474,793,12,1,0,0,1,0,1,1
72464,794,4,0,0,0,1,1,1,1
59301,526,3,1,1,0,1,0,1,1
733,599,5,0,1,0,0,0,1,1
70174,921,1,1,1,1,0,0,1,0
4278,612,10,0,1,0,1,0,1,1
1330,1244,3,0,0,0,0,0,1,0
8261,374,1,0,1,0,0,0,1,1
3944,793,11,1,1,1,1,1,1,1
4530,403,5,1,1,1,1,0,1,0
1505,99,10,0,1,1,0,0,1,1
412,327,6,0,0,1,1,0,1,0
16871,775,9,0,0,0,1,1,1,1
8870,1333,8,0,1,1,1,0,1,0
25052,120,8,1,0,1,0,0,1,0
80626,863,9,0,0,0,1,0,1,1
83077,717,9,0,0,0,1,0,1,1
1652,493,6,1,0,1,0,1,1,0
2888,276,2,1,1,0,0,0,1,1
1753,1451,6,0,1,1,1,1,1,1
8098,3,6,1,1,1,1,1,1,1
32189,1298,10,0,1,0,1,0,1,1
9184,469,10,0,1,0,1,0,1,1
2273,1285,12,0,0,0,0,0,1,1
10504,1107,1,1,1,0,0,1,1,0
3478,814,4,0,0,0,1,1,1,1
3678,1493,2,1,0,0,1,0,1,1
15803,871,6,0,0,0,1,0,1,1
587,137,1,0,0,0,1,1,1,1
8530,1474,11,0,1,0,1,1,1,1
1907,626,7,1,1,0,1,1,1,1
97581,202,10,0,1,0,1,1,1,1
415,139,8,1,0,0,0,1,1,1
24960,1304,3,0,1,0,1,0,1,1
6104,438,7,0,1,1,0,0,1,0
5767,1190,9,1,1,1,1,1,1,1
9918,1429,10,0,1,0,1,0,1,1
1155,1125,6,0,1,1,1,0,1,0
97781,198,11,1,0,1,1,0,1,0
94194,19,5,1,1,1,1,1,1,1
186,471,6,1,0,1,0,1,1,0
445,457,3,0,0,1,0,1,1,0
1901,330,12,1,1,0,1,0,1,1
65716,1090,7,0,1,0,1,0,1,1
1106,611,11,0,0,0,1,0,1,1
24031,376,2,1,0,1,0,1,1,0
8573,1166,11,0,1,0,0,0,1,1
395,713,2,1,1,0,0,0,1,1
25042,101,10,0,1,0,0,1,1,1
3036,78,8,0,1,1,0,1,1,1
30357,176,10,1,0,1,0,1,1,0
181,1183,7,1,1,1,0,1,1,1
47197,957,8,0,1,1,0,1,1,1
76076,1294,12,0,1,1,0,0,1,1
58923,691,3,1,1,1,1,0,1,0
2059,1322,2,0,0,1,1,1,1,1
3612,54,6,1,0,1,1,0,1,0
5762,630,7,1,1,1,1,1,1,0
3109,134,7,1,1,0,1,1,1,1
4978,1404,10,0,1,1,1,0,1,1
37484,773,7,0,0,1,0,1,1,0
1102,1235,4,1,0,0,0,1,1,0
76644,952,2,1,1,1,1,1,1,1
71210,1011,6,0,1,1,0,0,1,1
3571,100,7,0,0,1,1,1,1,1
1655,396,12,0,0,1,1,0,1,1
7479,1072,12,0,0,0,1,0,1,1
9550,147,1,0,0,1,0,0,1,0
72379,614,4,0,0,0,1,0,1,1
70987,1411,10,0,0,1,1,1,1,1
1660,1325,3,1,0,0,1,1,1,1
5920,1465,1,0,0,1,1,1,1,1
2726,456,8,1,1,1,0,0,1,0
166,852,2,1,0,1,1,0,1,0
6735,1360,11,0,1,0,0,0,1,1
491,1258,12,1,1,1,0,1,1,1
8644,1433,1,1,1,0,1,1,1,1
1317,643,5,0,1,0,1,1,1,1
99992,182,8,1,0,0,0,1,1,1
380,176,3,0,1,0,0,1,1,1
955,1375,9,0,1,1,0,1,1,1
64387,1253,9,1,0,0,0,0,1,1
67933,1178,7,1,1,1,0,1,1,1
3273,1120,9,1,0,1,1,0,1,0
1477,647,7,1,1,1,1,0,1,0
76412,355,1,1,1,0,0,0,1,0
1854,1042,4,0,1,1,0,1,1,1
60685,975,6,0,1,0,0,1,1,1
63405,234,10,0,1,0,0,0,1,1
22581,571,7,0,1,0,0,0,1,1
1967,478,2,1,1,1,1,0,1,0
6914,1238,6,1,1,1,0,0,1,0
7353,1333,7,1,1,0,0,1,1,0
1478,1298,12,1,1,0,0,0,1,0
6483,553,4,1,1,0,0,0,1,0
5211,58,6,0,1,0,0,1,1,1
5221,23,3,1,0,1,1,0,1,1
64344,71,7,0,1,0,1,1,1,1
2153,560,12,1,0,1,0,0,1,0
97681,823,1,1,1,0,1,0,1,1
2496,896,2,0,0,1,1,0,1,0
5797,841,9,0,0,0,0,0,1,1
5708,747,9,1,1,0,1,0,1,1
9147,558,9,0,1,0,0,0,1,1
1898,473,8,1,1,1,0,1,1,0
4870,996,6,0,1,0,0,0,1,1
54368,461,12,1,1,0,1,0,1,1
75958,1130,9,1,1,1,1,0,1,1
863,332,11,0,0,0,1,0,1,1
1926,726,7,0,0,0,0,0,1,0
6450,285,4,1,0,1,1,1,1,1
73355,378,8,1,0,1,0,0,1,0
4310,437,1,0,0,1,1,1,1,1
1719,989,2,0,0,1,1,0,1,0
3663,797,11,0,0,1,0,0,1,0
6799,801,12,1,0,0,0,0,1,1
34825,1410,12,1,1,1,0,1,1,0
806,1261,11,0,1,0,1,1,1,1
5990,676,1,0,1,0,1,0,1,1
709,447,9,0,1,0,1,0,1,1
1041,505,4,1,0,0,1,0,1,0
30298,686,4,0,0,0,0,1,1,1
573,655,4,0,0,1,0,1,1,0
87585,746,10,1,0,0,1,1,1,1
6614,164,12,0,1,1,1,1,1,1
58339,374,1,1,1,0,1,1,1,1
61203,743,8,1,0,1,0,0,1,0
23485,605,10,0,0,1,1,0,1,1
1824,117,5,1,0,1,1,0,1,0
713,932,4,0,0,1,0,1,1,0
1408,853,5,1,1,1,0,1,1,0
4631,1286,2,0,0,0,1,1,1,1
902,232,9,1,0,0,1,1,1,1
84689,1005,8,0,0,1,0,0,1,1
7960,447,11,1,1,0,0,0,1,0
8713,449,11,1,1,0,0,0,1,1
9818,182,9,1,1,1,0,0,1,1
39634,146,6,1,0,0,1,0,1,0
2540,1356,6,0,0,1,1,0,1,1
312,486,7,1,1,0,0,0,1,0
8473,1083,4,1,0,0,0,1,1,1
9226,576,3,0,1,0,0,1,1,1
5582,334,9,1,0,1,0,0,1,0
1576,229,4,0,0,0,1,0,1,1
31567,1220,2,0,1,0,0,1,1,1
1954,1037,8,1,1,0,0,0,1,0
5579,646,7,1,1,1,1,1,1,0
43750,823,11,1,0,0,1,0,1,1
4444,1492,11,1,1,0,1,1,1,1
17094,1062,9,1,1,0,1,0,1,1
21098,946,2,1,0,1,1,0,1,0
28852,761,1,0,1,1,1,0,1,0
2192,590,1,1,0,0,0,1,1,0
833,590,7,1,0,0,1,1,1,0
1444,1348,5,1,0,0,0,0,1,0
60885,162,9,1,1,0,0,0,1,1
3414,210,4,1,0,0,0,1,1,0
1442,162,5,0,1,0,1,1,1,1
11718,354,11,1,0,0,0,0,1,0
66649,94,6,0,1,0,0,1,1,1
39577,856,1,1,1,1,1,0,1,0
7249,1147,5,0,1,0,0,0,1,1
575,1190,5,1,0,0,1,1,1,0
63338,926,1,0,0,1,0,0,1,0
2774,1368,5,0,0,1,0,0,1,0
5728,733,10,0,0,0,0,1,1,1
8447,1215,8,1,0,1,1,1,1,1
6994,967,9,0,1,0,1,1,1,1
2529,390,1,0,1,1,1,0,1,0
99813,514,12,1,1,1,1,0,1,1
2205,213,7,0,0,0,0,0,1,1
40214,489,6,0,0,0,0,1,1,1
258,80,9,1,1,1,1,0,1,1
918,131,9,1,1,0,0,0,1,0
11454,1348,9,0,1,0,1,0,1,1
1763,1355,1,1,1,0,1,0,1,1
28313,219,7,1,1,0,0,0,1,0
20095,832,12,0,0,0,1,0,1,1
7115,743,8,1,1,0,1,1,1,1
42942,651,3,1,1,1,1,0,1,1
6420,696,10,1,0,1,1,1,1,0
4079,1028,12,1,0,1,0,0,1,0
1939,1447,5,0,1,1,0,0,1,0
6667,1185,6,1,1,1,0,1,1,1
510,166,6,1,0,0,0,1,1,0
118,508,4,0,1,0,1,1,1,1
2394,771,6,1,0,1,1,0,1,0
36747,525,12,0,0,0,0,1,1,1
36977,281,6,1,1,0,1,0,1,1
1828,140,2,0,1,1,1,0,1,1
28500,403,8,0,1,0,0,1,1,1
806,670,6,1,0,1,0,1,1,0
131,972,9,1,0,1,1,1,1,1
1400,958,4,1,1,0,0,1,1,0
85606,1195,12,1,1,1,0,0,1,0
83357,289,9,0,0,0,0,0,1,1
1504,26,7,0,1,1,1,0,1,1
9752,432,8,1,1,1,0,0,1,0
1783,287,1,1,0,1,1,0,1,0
31130,879,2,0,1,0,1,0,1,1
1834,594,1,1,0,1,0,1,1,0
1682,1303,7,1,1,1,0,1,1,0
1015,309,10,1,1,0,1,1,1,1
1545,989,6,1,1,1,0,1,1,1
8832,727,11,0,1,0,1,1,1,1
5469,667,11,0,0,1,0,1,1,1
74897,932,2,1,0,1,0,1,1,0
1898,1395,6,0,1,1,0,0,1,1
12248,1418,2,1,0,0,0,0,1,0
3861,1157,8,0,0,1,1,1,1,1
8732,1457,8,1,0,1,1,0,1,0
333,1132,12,1,1,0,1,1,1,1
234,905,12,1,0,0,1,1,1,1
53321,239,2,0,1,0,0,0,1,1
4691,1492,12,0,0,1,1,1,1,1
35735,1312,1,1,0,1,1,0,1,0
4322,85,11,1,0,1,1,0,1,0
1824,1489,10,1,0,0,1,1,1,1
9829,1343,10,1,1,1,1,0,1,1
74628,862,2,0,0,0,1,1,1,1
1119,964,2,1,1,1,1,0,1,0
1804,87,1,0,1,0,1,1,1,1
80364,897,11,1,1,1,1,1,1,1
869,76,2,1,1,0,1,1,1,1
163,1367,7,1,0,0,0,0,1,0
6560,580,1,0,0,0,1,1,1,1
32027,977,7,0,1,0,0,1,1,1
1862,532,10,0,1,1,0,1,1,1
99267,296,7,0,0,0,0,0,1,1
16569,1255,10,0,1,1,0,1,1,1
24081,138,11,1,1,0,0,0,1,1
6538,406,9,1,1,0,1,1,1,1
6894,894,8,1,1,1,1,0,1,0
95303,794,3,0,1,0,1,1,1,1
1410,642,11,1,1,0,1,0,1,1
9418,1333,11,1,0,0,0,0,1,0
820,751,8,1,1,0,1,1,1,1
639,903,7,1,1,0,0,0,1,1
6648,1482,7,1,1,0,0,0,1,0
32983,1407,10,1,0,1,1,1,1,0
422,762,10,0,1,1,1,1,1,1
3880,67,9,0,1,0,1,0,1,1
389,1064,8,0,1,1,0,0,1,1
93354,512,12,0,0,0,0,1,1,1
555,345,10,0,1,0,1,1,1,1
8094,508,8,1,1,0,1,1,1,1
96793,436,4,1,1,0,1,1,1,1
74518,35,2,1,0,0,1,0,1,1
2527,625,10,1,1,0,1,1,1,1
26834,332,9,0,1,1,1,0,1,1
1440,796,8,0,0,0,0,0,1,0
25617,298,12,1,0,0,1,1,1,1
32237,1140,1,1,1,0,0,1,1,0
79140,1286,11,1,1,1,1,1,1,1
1037,178,10,1,1,0,1,0,1,1
15181,713,3,1,0,0,0,0,1,0
6066,290,9,0,1,1,1,1,1,1
11064,505,4,1,0,0,1,1,1,0
84480,1255,11,1,1,0,1,1,1,1
72346,1500,6,0,0,1,1,1,1,1
59395,1463,1,1,1,0,1,1,1,1
9351,1040,12,1,0,0,0,0,1,1
2078,743,1,1,0,1,1,0,1,0
9412,1376,6,1,1,0,1,1,1,1
107,251,10,1,0,0,0,1,1,1
6175,1017,9,0,1,1,0,0,1,1
17087,223,1,0,0,0,0,0,1,0
6967,11,10,0,1,1,0,0,1,1
1042,1113,3,0,0,0,0,1,1,1
31437,1114,11,0,0,1,1,0,1,1
56851,999,1,0,0,0,0,0,1,1
39180,1209,10,1,0,1,0,1,1,0
1618,782,5,0,1,0,1,0,1,1
5073,825,8,1,1,1,1,1,1,0
3942,760,9,0,0,1,0,1,1,1
810,1035,10,0,1,1,1,0,1,1
1650,1229,8,0,1,1,1,0,1,0
2139,1443,1,0,1,1,1,1,1,1
1473,1163,1,0,0,0,0,0,1,0
1081,321,4,0,0,0,1,0,1,1
1480,1393,5,1,0,1,1,1,1,0
13771,1406,4,1,1,0,0,0,1,0
94245,381,9,1,1,1,0,0,1,1
45296,1116,12,0,0,1,0,0,1,1
1769,567,12,0,1,1,1,0,1,1
3111,848,2,0,1,0,0,1,1,1
92982,1412,12,1,1,0,0,0,1,1
3482,8,1,0,0,0,0,1,1,1
30397,195,3,1,0,0,0,1,1,0
56050,1439,7,1,1,0,1,1,1,1
2673,948,2,1,1,1,0,1,1,0
122,781,12,0,1,1,0,0,1,1
51736,1011,5,0,1,0,0,0,1,1
6583,1072,10,1,1,0,1,1,1,1
86792,388,11,1,1,0,1,1,1,1
5488,1386,10,1,1,0,1,1,1,1
9964,62,1,0,1,1,0,1,1,1
366,326,11,1,1,1,1,0,1,1
9374,801,7,1,0,1,1,0,1,0
90863,650,8,1,1,1,0,0,1,1
625,194,11,0,0,1,0,1,1,1
88925,1111,8,1,0,1,0,0,1,0
3679,1302,6,1,1,1,1,1,1,1
1599,70,4,0,1,1,0,0,1,0
1710,446,9,0,1,1,0,1,1,1
1109,506,9,1,1,0,0,0,1,0
127,319,1,1,1,0,1,1,1,1
22483,1218,12,0,1,0,1,1,1,1
9109,991,10,0,1,1,1,1,1,1
39996,1265,6,0,0,0,1,1,1,1
78301,436,12,1,1,0,1,0,1,1
5926,381,1,1,1,1,0,1,1,1
6266,712,6,1,1,0,0,1,1,1
72686,619,6,0,0,1,1,0,1,1
9964,396,5,0,1,0,0,0,1,1
81032,1038,9,1,0,0,0,0,1,1
35584,1141,5,1,1,0,1,1,1,1
14319,1303,9,0,1,0,1,1,1,1
934,1422,11,0,0,0,1,1,1,1
532,761,8,1,1,1,1,1,1,0
45743,1442,4,0,0,0,1,0,1,1
25630,577,5,1,1,1,0,0,1,0
4664,972,12,1,1,1,0,0,1,1
91738,922,12,1,0,0,0,0,1,1
630,284,8,0,1,1,1,0,1,0
1631,38,9,0,1,1,1,1,1,1
8883,686,1,1,1,0,0,0,1,0
80392,582,5,0,0,0,0,0,1,1
30766,484,1,0,1,0,0,1,1,1
132,261,11,0,1,1,1,0,1,1
243,536,5,0,1,0,0,0,1,1
9276,1202,3,0,0,0,1,1,1,1
75296,832,8,1,1,0,1,1,1,1
1646,156,6,1,0,1,1,1,1,0
8427,1048,2,0,1,0,1,0,1,1
83520,1221,2,1,1,0,1,0,1,1
2347,96,10,1,0,0,1,1,1,1
1308,1436,7,0,0,1,1,1,1,1
3838,980,8,1,1,0,1,1,1,1
69283,636,5,1,1,1,0,1,1,1
707,1294,9,1,0,0,0,1,1,1
137,443,3,0,0,1,0,0,1,1
1934,530,3,0,0,1,0,1,1,0
91941,930,9,0,0,1,1,1,1,1
49966,507,1,1,0,1,1,0,1,0
5021,957,11,1,1,1,0,0,1,0
5202,727,3,0,1,1,1,0,1,0
38946,85,11,0,0,0,1,1,1,1
45670,74,11,1,0,0,1,1,1,1
3723,1127,2,1,0,0,1,0,1,1
2226,741,7,1,0,1,1,1,1,0
90508,656,5,0,0,1,1,1,1,1
42189,218,5,1,1,1,0,0,1,0
1185,1085,9,1,1,0,0,1,1,1
32947,515,5,1,0,1,1,0,1,0
1544,1411,7,1,1,0,0,0,1,0
1563,1344,9,1,0,0,0,1,1,1
28700,685,7,1,0,1,0,1,1,0
770,255,9,0,0,1,1,1,1,1
94255,1410,7,1,1,1,1,0,1,0
1537,1300,1,0,0,1,0,0,1,1
8559,1430,3,1,1,1,0,0,1,0
37803,1064,9,1,0,0,0,1,1,1
24335,1256,1,1,1,1,1,0,1,0
91613,568,5,0,1,0,1,0,1,1
767,1375,7,0,0,1,1,0,1,1
28013,198,5,0,0,0,1,0,1,1
60305,602,10,1,1,1,0,0,1,0
3113,914,6,1,1,1,1,1,1,0
4654,497,9,0,0,1,1,1,1,1
40346,254,2,0,0,1,0,1,1,1
1398,1374,8,1,0,1,1,0,1,0
884,1203,1,0,0,1,1,1,1,1
48553,708,8,0,0,0,0,0,1,1
8574,392,8,1,0,0,0,0,1,0
5207,1100,6,0,1,1,1,1,1,1
1818,451,9,0,0,0,0,1,1,1
189,912,7,0,0,1,0,0,1,0
2971,147,2,1,0,0,1,1,1,1
23327,1141,7,0,0,0,0,1,1,1
44543,755,5,0,1,1,1,1,1,1
4374,646,8,1,1,1,0,1,1,0
79520,159,1,0,0,1,1,1,1,1
41662,1052,9,0,1,0,0,1,1,1
672,1381,1,1,0,0,1,1,1,0
772,518,9,1,1,0,1,0,1,1
6938,1412,7,0,1,0,0,0,1,1
6086,1181,9,1,0,1,1,1,1,0
1480,740,3,0,0,0,0,0,1,0
4593,726,5,1,1,0,0,0,1,0
5550,1093,1,0,1,0,1,0,1,1
7537,500,8,1,0,0,1,0,1,0
5056,548,7,1,0,1,1,1,1,0
96739,1409,1,0,1,0,0,1,1,1
62943,1198,11,0,0,0,1,1,1,1
3548,94,11,1,0,1,0,0,1,0
28878,727,5,1,1,1,1,1,1,0
95478,1044,12,1,0,1,0,1,1,1
9716,933,10,0,1,1,1,1,1,1
4215,175,8,0,0,0,0,0,1,0
38203,874,1,1,1,0,0,1,1,0
593,3,9,0,0,1,0,0,1,1
97373,1156,1,1,0,1,1,1,1,0
1384,1070,7,1,1,1,0,0,1,0
13162,1382,11,0,0,0,0,0,1,1
49652,1125,1,1,1,0,1,0,1,1
1572,1474,7,0,0,1,1,1,1,1
93581,150,12,0,1,1,0,1,1,1
4373,791,8,1,0,1,0,0,1,0
2278,508,8,1,1,0,1,1,1,1
1472,1252,2,1,0,1,0,1,1,0
2741,920,9,0,0,0,0,1,1,1
6961,300,3,1,1,1,1,1,1,0
92823,426,3,1,0,0,0,0,1,0
1814,1314,9,1,1,1,1,1,1,1
185,1195,1,0,1,1,1,0,1,0
842,1042,3,0,0,1,0,1,1,0
3758,408,12,1,0,1,0,0,1,0
3187,484,1,0,1,0,0,0,1,1
312,1230,7,1,0,1,1,0,1,0
1060,466,2,1,1,0,0,1,1,0
778,85,6,1,0,1,0,1,1,0
540,172,11,1,0,1,1,1,1,0
7659,915,5,1,0,1,1,1,1,0
7641,334,4,1,0,1,1,0,1,0
10268,1174,8,1,1,1,1,1,1,1
168,40,11,0,1,0,0,1,1,1
45735,312,10,1,0,0,0,1,1,1
9739,352,3,1,1,0,1,0,1,0
67894,146,9,0,0,0,0,0,1,1
1578,259,3,1,1,0,1,1,1,1
51986,1401,9,0,1,0,1,1,1,1
2928,1424,10,0,0,1,1,1,1,1
75285,1146,10,1,1,0,1,0,1,1
30731,177,11,0,1,0,0,1,1,1
61595,998,12,1,1,1,0,1,1,1
96021,454,8,0,0,1,0,1,1,1
36866,1470,8,0,0,1,0,0,1,0
68175,838,8,0,0,1,1,1,1,1
4436,450,11,1,0,1,1,0,1,0
803,53,2,0,1,1,1,1,1,1
6741,1113,3,1,0,0,1,1,1,0
1828,641,4,0,1,0,0,1,1,1
83502,446,10,1,1,1,0,1,1,1
6838,1017,12,0,1,0,0,0,1,1
3292,286,2,1,0,1,1,1,1,0
82416,978,3,0,0,1,0,0,1,1
57030,860,12,1,0,0,1,0,1,1
750,1174,2,0,0,0,0,0,1,0
2838,46,6,1,1,0,0,1,1,1
1892,551,4,0,1,0,1,0,1,1
9225,1031,7,0,0,0,0,1,1,1
4834,847,7,1,1,0,1,0,1,0
171,1433,12,1,0,1,0,0,1,0
8500,1339,9,0,1,0,1,0,1,1
25335,751,10,0,1,0,0,1,1,1
3201,547,2,1,0,0,1,0,1,1
5828,553,8,1,1,0,0,1,1,1
96096,997,2,0,0,0,0,0,1,1
8333,1410,6,1,0,1,1,0,1,0
111,589,8,1,0,1,1,0,1,0
7183,1074,4,1,0,0,0,0,1,0
1033,682,10,1,1,0,1,0,1,1
36939,1388,9,0,1,1,0,0,1,1
52984,1429,7,1,1,1,0,1,1,0
1054,1373,10,0,0,0,0,0,1,1
2104,555,3,0,0,0,1,0,1,1
79925,755,3,1,0,0,0,0,1,0
44714,639,8,1,1,0,1,1,1,1
9147,58,1,0,0,1,1,0,1,1
67372,586,8,0,1,1,1,1,1,1
9652,263,2,1,0,0,1,1,1,0
236,743,9,0,0,0,1,1,1,1
976,1489,10,0,1,0,1,0,1,1
6474,478,12,0,1,1,1,1,1,1
93175,452,4,0,1,0,1,0,1,1
6124,284,1,1,0,1,0,0,1,0
2103,1097,2,1,1,0,0,0,1,0
8871,43,6,1,0,0,0,1,1,1
1752,1417,1,1,1,1,0,1,1,0
48786,1043,1,0,0,0,1,1,1,1
1144,215,7,0,1,0,1,1,1,1
342,1188,10,1,0,0,1,1,1,1
2463,618,3,1,0,1,1,1,1,0
13060,340,8,1,0,0,1,1,1,0
16820,1357,4,1,1,1,0,1,1,0
564,545,6,1,1,1,1,0,1,0
1259,551,8,0,1,0,1,1,1,1
5727,75,11,1,0,0,1,0,1,0
8279,1463,5,1,1,0,1,0,1,0
8285,94,6,1,1,1,1,1,1,0
9816,1060,8,1,0,0,1,1,1,1
16975,1259,3,0,0,1,0,1,1,0
5201,1074,8,0,1,1,1,1,1,1
9338,1233,2,1,1,0,0,1,1,0
1923,138,2,0,1,1,1,0,1,0
9263,1249,5,1,1,0,0,1,1,0
401,1117,7,1,0,0,0,0,1,0
55084,691,10,0,0,0,1,1,1,1
1322,350,11,1,1,1,0,1,1,0
1520,46,3,1,1,0,0,1,1,1
14950,1480,12,0,1,1,0,0,1,1
343,141,3,0,1,0,0,1,1,1
458,536,10,1,1,0,0,0,1,0
62976,1220,10,1,0,0,1,0,1,1
1291,640,4,0,0,1,1,0,1,1
6298,1038,1,1,1,0,1,1,1,1
22255,660,6,1,1,0,0,1,1,0
64517,1410,9,1,0,0,1,1,1,1
1734,535,12,0,0,1,1,1,1,1
3580,723,3,0,0,1,0,0,1,0
8648,1316,11,1,0,0,1,0,1,0
6345,118,6,0,1,0,1,0,1,1
45014,828,4,1,1,1,1,0,1,0
3596,1307,3,0,1,1,0,0,1,1
18380,495,9,0,0,0,0,0,1,1
